date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:56:38	5548/5548	---M--	200	added ('OK')	font/woff	etag:%2215ac-5c03f2aae2785%22	https://preview.colorlib.com/theme/unioncorp/fonts/flaticon/font/Flaticon.woff	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/fonts/flaticon/font/Flaticon.woff	(from https://preview.colorlib.com/theme/unioncorp/css/flaticon.css)
00:56:38	8924/8924	---MCZ	200	added ('OK')	font/ttf	etag:W/%2222dc-5c03f2ac52a15%22	https://preview.colorlib.com/theme/unioncorp/fonts/flaticon/font/Flaticon.ttf	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/fonts/flaticon/font/Flaticon.ttf	(from https://preview.colorlib.com/theme/unioncorp/css/flaticon.css)
00:56:39	42343/42343	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a567-5c03f2af41995%22	https://preview.colorlib.com/theme/unioncorp/fonts/flaticon/font/Flaticon.svg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/fonts/flaticon/font/Flaticon.svg	(from https://preview.colorlib.com/theme/unioncorp/css/flaticon.css)
00:56:41	409812/409812	---M--	200	added ('OK')	image/jpeg	etag:%22640d4-5c03e079adf81%22	https://preview.colorlib.com/theme/unioncorp/images/gallery-5.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/gallery-5.jpg	(from https://preview.colorlib.com/theme/unioncorp/work.html)
00:56:43	417233/417233	---M--	200	added ('OK')	image/jpeg	etag:%2265dd1-5c03e07459b9e%22	https://preview.colorlib.com/theme/unioncorp/images/gallery-6.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/gallery-6.jpg	(from https://preview.colorlib.com/theme/unioncorp/work.html)
00:56:44	119532/119532	---M--	200	added ('OK')	image/jpeg	etag:%221d2ec-5c03e08e71570%22	https://preview.colorlib.com/theme/unioncorp/images/image_5.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/image_5.jpg	(from https://preview.colorlib.com/theme/unioncorp/blog.html)
00:56:44	407293/407293	---M--	200	added ('OK')	image/jpeg	etag:%22636fd-5c03e08ca0805%22	https://preview.colorlib.com/theme/unioncorp/images/gallery-8.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/gallery-8.jpg	(from https://preview.colorlib.com/theme/unioncorp/work.html)
00:56:47	116421/116421	---M--	200	added ('OK')	image/jpeg	etag:%221c6c5-5c03e0914fb4f%22	https://preview.colorlib.com/theme/unioncorp/images/image_6.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/image_6.jpg	(from https://preview.colorlib.com/theme/unioncorp/blog.html)
00:56:47	330202/330202	---M--	200	added ('OK')	image/jpeg	etag:%22509da-5c03e0742ec20%22	https://preview.colorlib.com/theme/unioncorp/images/gallery-7.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/gallery-7.jpg	(from https://preview.colorlib.com/theme/unioncorp/work.html)
00:56:47	405119/405119	---M--	200	added ('OK')	image/jpeg	etag:%2262e7f-5c03e08f899c4%22	https://preview.colorlib.com/theme/unioncorp/images/image_7.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/image_7.jpg	(from https://preview.colorlib.com/theme/unioncorp/blog-single.html)
00:56:48	1110647/1110647	---M--	200	added ('OK')	image/jpeg	etag:%2210f277-5c03e096ca090%22	https://preview.colorlib.com/theme/unioncorp/images/about.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/about.jpg	(from https://preview.colorlib.com/theme/unioncorp/about.html)
